NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Drive-Thru Clementino Fraga Patologia Clínica Central | Laboratório, Análises Clínicas, Exames de sangue.;2.3;3 comentários;R. Carlos Vasconcelos, 927 - Meireles, Fortaleza - CE, 60115-170;Laboratório médico em Fortaleza, Ceará;;drive thru
McDonald's;;;Av. Santos Dumont, 6060 - Cocó, Fortaleza - CE, 60192-022;$$;20 min;drive thru
McDonald's;;;Av. Santos Dumont, 1710 - Aldeota, Fortaleza - CE, 60150-160;$$;25 min;drive thru
Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE;4.6;615 comentários;R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081;$$$;25 min a 1,5 h;drive thru
McDonald's;;;Av. Dom Luís, 1200 - Loja 01 - Aldeota, Fortaleza - CE, 60160-230;$$;15 min;drive thru
RioMar Kennedy;4.6;35.792 comentários;Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE, 60355-512;Shopping center;;drive thru
Habib's Aldeota: Esfirra, Kibe, Sanduíche, Delivery, Fortaleza CE;;;Av. da Abolição, 1780 - Meireles, Fortaleza - CE, 60165-080;$$;20 min a 1 h;drive thru
Dunada Burger;5.0;21 comentários;M dias branco - R. dos Cajueiros, 1421 - Fortaleza, CE, 60190-620;Hamburgueria;;drive thru
Habib's Treze de Maio: Esfirra, Kibe, Sanduíche, Delivery, Fortaleza CE;;;Av. Treze de Maio, 1746 - Fátima, Fortaleza - CE, 60040-531;$$;15 min a 1 h;drive thru
McDonald's;;;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065;$$;;drive thru
Iracemado Lanches;5.0;2 comentários;R. dos Cajueiros, 1593 - Cidade 2000, Fortaleza - CE, 60190-620;Restaurante fast-food;;drive thru
The Waffle King Fortaleza;4.5;101 comentários;R. Dr. Gilberto Studart, 155 - Loja 09 - Cocó, Fortaleza - CE, 60192-105;Restaurante fast-food;10 min;drive thru
El Ranchero Hamburgueria;4.4;31 comentários;R. João Cordeiro, 201 - Praia de Iracema, Fortaleza - CE, 60110-355;Hamburgueria;30 min a 1 h;drive thru
Point do Lanche;5.0;23 comentários;R. Sen. Pompeu, 1539 - Centro, Fortaleza - CE, 60025-000;$;;drive thru
Júnior da Picanha;4.4;2.045 comentários;Av. Nilo Gomes de Soares, 201 - Cidade 2000, Fortaleza - CE, 60190-630;$$;1-2,5 horas;drive thru
Mr. Fruit Açaí Fortaleza;5.0;2 comentários;R. Barão do Rio Branco, 927 - Centro, Fortaleza - CE, 60025-060;Loja de açaí;;drive thru
Sorvete da Reserva;4.8;192 comentários;Rua Torres Câmara, 100 - loja 03 - Aldeota, Fortaleza - CE, 60150-060;Sorveteria;;drive thru
Farmácia Dose Certa Água Fria: Delivery, Medicamento, Vitaminas, Fortaleza CE;3.0;46 comentários;Av. Washington Soares, 1500 - Água Fria, Fortaleza - CE, 60811-341;Empresa farmacêutica em Fortaleza, Ceará;;drive thru
Two Brothers Cocó: Pizza, Massas, Calzones, Pizzaria, Delivery, Fortaleza CE;3.3;40 comentários;R. Batista de Oliveira, 1071 - Cocó, Fortaleza - CE, 60192-340;Pizzaria;;drive thru
Skyna by Brend Burguer;;;Rua Jaime Benévolo № 107 - Centro, Fortaleza - CE, 60050-080;;30 min a 1,5 h;drive thru
Complexo Crocobeach;4.6;32.492 comentários;Av. Clóvis Arrais Maia, 3125 - Praia Do Futuro, Fortaleza - CE, 60182-324;$$;;drive thru
Burger King;4.4;302 comentários;"R. Carapinima, 2200 - Loja: 229/230;, 2200 - Benfica, Fortaleza - CE, 60015-290";$$;;drive thru
BBQ5;4.5;312 comentários;R. Bento Albuquerque - Cocó, Fortaleza - CE, 60192-055;Restaurante especializado em carnes;30 min a 1,5 h;drive thru
Macarronada É Massa;3.8;14 comentários;R. Gen. Sampaio, 1235 - Centro, Fortaleza - CE, 60020-030;Restaurante italiano;;drive thru
Shopping RioMar Fortaleza;4.7;52.466 comentários;R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055;Shopping center em Fortaleza, Ceará;45 min a 3 h;drive thru
