NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
B.LEM;4.4;299 comentários;Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060;$$;10 min;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Panificadora o Matutinho;4.8;117 comentários;Rua São, R. São Bernardo do Campo, 241 - Cais do Porto, Fortaleza - CE, 60175-440;$;10 min;padaria
Rebeca Panificadora;4.2;37 comentários;R. Coronel Manuel Jesuíno, 311 - Mucuripe, Fortaleza - CE, 60175-270;Padaria;15 min;padaria
Padaria Narjara;4.4;993 comentários;R. Padre Anchieta, 1320 - São Gerardo, Fortaleza - CE, 60325-582;$$;20 min;padaria
Padaria Confeitos Vitória;4.1;229 comentários;Av. Central, 208 - Cidade 2000, Fortaleza - CE, 60190-611;$$;15 min;padaria
Portitália Paladaria (Parque Manibura);4.3;1.463 comentários;Av. Washington Soares, 4040 - Parque Manibura, Fortaleza - CE, 60821-750;$$;20 min;padaria
Padaria Da Viza;4.4;92 comentários;R. Miguel Calmom, 407 - Vicente Pinzon, Fortaleza - CE, 60182-160;$;10 min;padaria
Padaria Romana Delicatessen;4.3;3.001 comentários;Av. Treze de Maio, 901 - Fátima, Fortaleza - CE, 60040-531;$$;25 min;padaria
Padaria Contrigo;1.0;Um comentário;R. Júlio Ibiapina, 291 - Dionísio Torres, Fortaleza - CE, 60170-220;Padaria;;padaria
Padaria Globo;4.5;340 comentários;R. Padre Mororó, 1155 - Centro, Fortaleza - CE, 60015-220;$$;10 min;padaria
Padaria Romana (Aldeota);4.2;502 comentários;R. Barbosa de Freitas, 1455 - Aldeota, Fortaleza - CE, 60170-020;Padaria;25 min;padaria
Pequena Padaria Caseira;4.8;15 comentários;edificio lara - Joaquim Távora (Fortaleza), Fortaleza - CE, 60120-002;Padaria;;padaria
Molino Padaria Artesanal;4.5;150 comentários;Rua Torres Câmara, 314 - loja 2 - Aldeota, Fortaleza - CE, 60150-060;Padaria;20 min a 1 h;padaria
Padaria Família;4.4;26 comentários;R. Oliveira Filho, 665 - Cais do Porto, Fortaleza - CE, 60181-805;Padaria;;padaria
F;4.7;16 comentários;Av. Dioguinho, 4740 - Loja 1 - Praia do Futuro II, Fortaleza - CE, 60183-712;Padaria;;padaria
Panificadora Nogueira;4.5;2.763 comentários;R. Padre Pedro de Alencar, 244 - Messejana, Fortaleza - CE, 60840-280;$$;15 min;padaria
Panificadora Macropan (Damas);4.6;48 comentários;R. Machado de Assis, 654 - Damas, Fortaleza - CE, 60426-000;$$;10 min;padaria
Padaria O Elias;4.3;27 comentários;Av. Clóvis Matos, 1304 - Vicente Pinzon, Fortaleza - CE, 60183-100;Padaria;;padaria
Vila do Pão Delicatessen;4.4;669 comentários;Av. Rogaciano Leite, 450 - Guararapes, Fortaleza - CE, 60810-001;$$;20 min;padaria
Donata Padaria;4.3;824 comentários;Av. Jovita Feitosa, 2345 - Alagadiço, Fortaleza - CE, 60455-410;$$;15 min;padaria
Speciale Pães Artesanais;4.7;142 comentários;R. Fênix, 789 - Luciano Cavalcante, Fortaleza - CE, 60811-000;$$;15 min;padaria
Pão de Mel;3.8;752 comentários;Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068;Padaria;25 min;padaria
Pão de Açúcar;4.2;1.278 comentários;Rua Bárbara de Alencar, 1887 - Loja 1 - Aldeota, Fortaleza - CE, 60140-000;Supermercado;20 min;padaria
Padaria do Zenardo;4.8;13 comentários;R. Livreiro Gualter, 222 - Vila União, Fortaleza - CE, 60420-130;$;;padaria
Panificadora Holanda;4.2;37 comentários;R. João Cordeiro, 2994 - Aldeota, Fortaleza - CE, 60110-535;Padaria;;padaria
Padaria Romana (Centro);4.2;865 comentários;Av. Duque de Caxias, 137 - Centro, Fortaleza - CE, 60035-110;$$;15 min;padaria
Padaria Romana (Centro);4.3;420 comentários;Av. Tristão Gonçalves, 664 - Centro, Fortaleza - CE, 60015-000;$$;10-45 min;padaria
Panificadora Pão Nosso;4.3;73 comentários;Rua Padre Antonino, 803 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-480;$$;10 min;padaria
Padaria e mercadinho Premiato;4.8;37 comentários;R. Sen. Pompeu, 2610 - Benfica, Fortaleza - CE, 60025-002;Padaria;;padaria
Padaria em Fortaleza Delícias da Marta;4.7;22 comentários;R. Manuel Moura, 718 - Barra do Ceará, Fortaleza - CE, 60330-780;Padaria;;padaria
B.LEM Padaria Portuguesa - Fortaleza RioMar;4.3;7 comentários;R. Des. Lauro Nogueira, nº1500 - Loja 2004 - Papicu, Fortaleza - CE, 60176-065;Doceria;;padaria
B.LEM;4.4;299 comentários;Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060;$$;10 min;padaria
Padaria da Andreia;4.3;6 comentários;Rua Rui Barbosa, 150 - Vicente Pinzon, Fortaleza - CE, 60181-461;Padaria;;padaria
Costa Mendes Delicatessen;4.4;11.204 comentários;Rua Professor Costa Mendes, 609 - Montese, Fortaleza - CE, 60426-084;$$;15-45 min;padaria
Padaria Romana;4.5;216 comentários;R. Mario Studart, 81 - Jacarecanga, Fortaleza - CE, 60326-060;$$;15 min a 2 h;padaria
