NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Shopping RioMar Fortaleza,4.7,52.356 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",45 min a 3 h,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Papicu,
Greta Café,4.7,1.094 comentários,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,,cafeteria,,,,,-3.7457537,-38.5013935,Dionísio Torres,
Bardo Café,4.9,22 comentários,"R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010",Cafeteria,,cafeteria,,,,,-3.7374153,-38.4744682,Papicu,
"Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.6,62 comentários,"R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250",Cafeteria,10 min,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7324095,-38.4968333,Meireles,
Le Pain Le Café | Aldeota,4.4,1.277 comentários,"Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310",$$$,"20 min a 1,5 h",cafeteria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,Meireles,
Cafeteria Club Café Santa Clara,4.0,25 comentários,"Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria,,,,,,,Papicu,
Casa Bauducco,4.7,201 comentários,"R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055",$$,10 min,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,,,Papicu,
Café Cultive,4.5,695 comentários,"R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,,cafeteria,,,,,-3.7374329,-38.4916152,Aldeota,
Greta Café,4.7,1.094 comentários,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,,cafeteria,,,,,,,Dionísio Torres,
Torra Café,4.8,452 comentários,"Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190",Cafeteria,1-2 horas,cafeteria,,,,,-3.7352224,-38.4943307,Aldeota,
Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza,4.1,169 comentários,"Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,,cafeteria,,,,,,,Papicu,
Amika Coffeehouse,4.8,957 comentários,"Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172",$$,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.749221,-38.5021992,Dionísio Torres,
DOLCE GRÃO Cafeteria,4.5,55 comentários,"Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350",Cafeteria,15-45 min,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Cocó,
l´espresso café - Livraria Leitura RioMar,4.8,9 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-125",Café,,cafeteria,,,,,,,Papicu,
