,NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO,LAT,LNG
0,Shopping RioMar Fortaleza,cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",4.7,52356,45.0,180.0,0 days 00:45:00,0 days 03:00:00,Papicu,-3.742328615642,-38.471450178313
1,Greta Café,cafeteria,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,4.7,1094,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres,-3.747023993054,-38.497650035889
2,Bardo Café,cafeteria,"R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010",Cafeteria,4.9,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.737813047755,-38.47687594477
3,"Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",cafeteria,"R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250",Cafeteria,4.6,62,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Meireles,-3.732479002202,-38.49704997544
4,Le Pain Le Café | Aldeota,cafeteria,"Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310",$$$,4.4,1277,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Meireles,-3.735361999709,-38.491679019524
5,Cafeteria Club Café Santa Clara,cafeteria,"Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.0,25,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.742328615642,-38.471450178313
6,Casa Bauducco,cafeteria,"R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055",$$,4.7,201,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Papicu,-3.742328615642,-38.471450178313
7,Café Cultive,cafeteria,"R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.5,695,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.737885067804,-38.490061772954
8,Torra Café,cafeteria,"Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190",Cafeteria,4.8,452,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota,-3.734375988948,-38.497447387718
9,Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza,cafeteria,"Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.1,169,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.742328615642,-38.471450178313
10,Amika Coffeehouse,cafeteria,"Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172",$$,4.8,957,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Dionísio Torres,-3.74920500617,-38.502440964106
11,DOLCE GRÃO Cafeteria,cafeteria,"Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350",Cafeteria,4.5,55,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Cocó,-3.747984014334,-38.494214964329
12,l´espresso café - Livraria Leitura RioMar,cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-125",Café,4.8,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.742328615642,-38.471450178313
13,Cafeteria Prosa e Queijos,cafeteria,"Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106",Cafeteria,4.9,40,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Cidade 2000,-3.757067504839,-38.448340103495
14,Blend Coffee House,cafeteria,"R. Sabino Pires, 17 - Aldeota, Fortaleza - CE, 60150-090",$$,4.6,857,45.0,120.0,0 days 00:45:00,0 days 02:00:00,Aldeota,-3.736556001816,-38.501255008625
15,The Coffee,cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,3.1,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.742328615642,-38.471450178313
16,Café 50,cafeteria,"Av. Beira Mar, 4050 - Mucuripe, Fortaleza - CE, 60165-120",Cafeteria,4.4,836,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Mucuripe,-3.724064996338,-38.484415010775
17,Mercado do Café (Aldeota),cafeteria,"R. Maria Tomásia, 531 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.2,701,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.735454996925,-38.497458006487
18,Lugano Fortaleza Jardins,cafeteria,"Rua Marcos Macêdo, 454 - Aldeota, Fortaleza - CE, 60170-001",Cafeteria,4.4,39,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Aldeota,-3.734203442648,-38.4979857441
19,Café Senac,cafeteria,"Av. Desembargador Moreira, 1301 - Aldeota, Fortaleza - CE, 60170-002",$$,4.8,100,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.737815929309,-38.49874713409
20,pincoffee - Café Rosa - Cafeteria Rosa,cafeteria,"R. Maria Tomásia, 1262 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.1,121,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.737841402516,-38.490196797461
21,"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",cafeteria,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,4.6,584,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Aldeota,-3.730310017117,-38.511139032669
22,The Coffee,cafeteria,"Rua Professor Otávio Lobo, 755 - Loja 25 A - Cocó, Fortaleza - CE, 60192-290",Cafeteria,5.0,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cocó,-3.741226344696,-38.476731366697
23,Milklandia Café,cafeteria,"Shopping Rio Mar - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.1,11,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.7399718,-38.4809687
24,"Café Jangada: Cafeteria, Crepes, Tapiocas, Sanduiches, Cuscuz em Fortaleza CE",cafeteria,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-122",Cafeteria,4.3,12,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.724728094175,-38.50056764747
25,Empório Café,cafeteria,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,4.7,117,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.735810012434,-38.490155021888
26,Tiamate Coffee,cafeteria,"R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60310-330",$$,4.5,786,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Centro,-3.726743906896,-38.527005496626
27,Cafeteria Santa Clara,cafeteria,"R. Major Facundo, 500 - Centro, Fortaleza - CE, 60025-100",Cafeteria,4.5,37,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.727038534797,-38.527755643835
28,Bleecker Café - Aldeota,cafeteria,"Rua Silva Paulet, 1281 - Aldeota, Fortaleza - CE, 60120-021",$$,4.7,536,25.0,120.0,0 days 00:25:00,0 days 02:00:00,Aldeota,-3.736357015435,-38.506035040368
29,Nupê Café,cafeteria,"Rua Coronel Jucá, 537 - Meireles, Fortaleza - CE, 60170-288",$$,4.7,164,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.737122995657,-38.491089017359
30,Benévolo Café e Gelato,cafeteria,"R. Ana Bilhar, 1083 - Meireles, Fortaleza - CE, 60160-110",$$,4.6,1386,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Meireles,-3.730979982638,-38.490591970501
31,Oie Cafeteria,cafeteria,"R. República da Armênia, 1311 - Parque Manibura, Fortaleza - CE, 60821-760",Cafeteria,4.6,145,15.0,90.0,0 days 00:15:00,0 days 01:30:00,Parque Manibura,-3.792473019004,-38.481093011089
32,Tipo.cc - Café e Coworking,cafeteria,"R. José Vilar, 3040 - loja 2 - Dionísio Torres, Fortaleza - CE, 60125-001",Cafeteria,4.7,204,180.0,180.0,0 days 03:00:00,0 days 03:00:00,Dionísio Torres,-3.749667980592,-38.509277998707
33,Cafeteria Tres Coraçoes,cafeteria,"Av. Washington Soares, 85 - 720a - Edson Queiroz, Fortaleza - CE, 60811-900",Cafeteria,4.3,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz,-3.757360011226,-38.489447002527
34,Duckbill Fortaleza (Beira Mar),cafeteria,"Av. Beira Mar, 2500 - Meireles, Fortaleza - CE, 60165-121 - Meireles, Fortaleza - CE, 60165-120",Cafeteria,4.2,103,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.725735006726,-38.496904968515
35,Café & Company,cafeteria,"Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395",Cafeteria,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.732886225577,-38.482825555336
36,The Coffee,cafeteria,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,4.3,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.735810012434,-38.490155021888
37,The Coffee Beira Mar,cafeteria,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",$$,4.6,111,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.725619001186,-38.497395980403
38,Mercado do Café - Benfica,cafeteria,"Rua Padre Francisco Pinto, 186 - Gentilândia, Fortaleza - CE, 60020-290",$$,4.2,3780,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Gentilândia,-3.744425016336,-38.538926969533
39,Nüsse Café,cafeteria,"R. Maria Tomásia, 521 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.2,39,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Aldeota,-3.735277242446,-38.497717036298
40,Le Pain Le Café (Jardins Open Mall),cafeteria,"G, Av. Desembargador Moreira, 1031 - Aldeota, Fortaleza - CE, 60160-230",Cafeteria,4.5,285,10.0,60.0,0 days 00:10:00,0 days 01:00:00,Aldeota,-3.735564588449,-38.498021207592
41,Cafeteria Plaza,cafeteria,"Av. Santos Dumont, 2626 - Aldeota, Fortaleza - CE, 60150-160",Café,4.7,11,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.735344020527,-38.501691035229
42,Go Coffee Avenida Padre Antônio Tomás,cafeteria,"Av. Padre Antônio Tomás, 2080 - Loja 03 - Aldeota, Fortaleza - CE, 60140-160",Cafeteria,4.6,16,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.742071000739,-38.493527983545
43,Brígida cafeteria,cafeteria,"R. Riachuelo, 40 A - Papicu, Fortaleza - CE, 60175-205",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.739695988474,-38.475120988896
44,Acclamé Café & Patisserie,cafeteria,"Av. Viena Weyne, 370 - loja 12 - Cambeba, Fortaleza - CE, 60822-180",Cafeteria,4.8,37,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cambeba,-3.80129899541,-38.49110796046
45,Santa Clara Cafeteria Dragão do Mar,cafeteria,"Dragão do Mar Center of Art and Culture - R. Dragão do Mar, 81 - Praia de Iracema, Fortaleza - CE, 60060-390",$$,4.6,562,45.0,90.0,0 days 00:45:00,0 days 01:30:00,Praia De Iracema,-3.7214678,-38.5205229
46,Cafeteria Club Café Rituais - Shopping Iguatemi,cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",Cafeteria,3.9,96,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz,-3.757360011226,-38.489447002527
47,Bleecker Café - Varjota,cafeteria,"R. Frederico Borges, 425 - Varjota, Fortaleza - CE, 60175-040",Cafeteria,4.9,95,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Varjota,-3.733404992955,-38.489278023359
48,The Coffee,cafeteria,"R. Barbosa de Freitas, 1040 - Aldeota, Fortaleza - CE, 60170-021",Cafeteria,4.7,302,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.734991016674,-38.496851994887
49,Café Jangada Crepe & Tapioca,cafeteria,"Av. Beira Mar, 2361 - Meireles, Fortaleza - CE, 60165-121",Cafeteria,4.0,12,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.725061040366,-38.499082801062
50,Mais1 Café - Fortaleza Centro,cafeteria,"Av. Santos Dumont, 994 - Centro, Fortaleza - CE, 60150-160",Cafeteria,4.6,14,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.730960997628,-38.514625988209
51,Yucca Café,cafeteria,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",Bistrô,4.3,48,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.725989984221,-38.489402997535
52,Mais1 Café - Aldeota,cafeteria,"Av. Desembargador Moreira, 1800 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,4.8,15,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.741547006062,-38.500080033438
53,Confeitaria Sublime,cafeteria,"R. Eduardo Bezerra, 1276 A - São João do Tauape, Fortaleza - CE, 60130-271",$$,4.5,638,0.0,0.0,0 days 00:00:00,0 days 00:00:00,São João Do Tauape,-3.753480992165,-38.508816994032
54,"Go Coffee Washington Soares: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",cafeteria,"Av. Washington Soares, 1500 - Luciano Cavalcante, Fortaleza - CE, 60810-350",Cafeteria,4.9,32,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Luciano Cavalcante,-3.788637003012,-38.480695653591
55,O Cafeeiro- Coffee & Bakery,cafeteria,"Av. Santos Dumont, 2284 - Manuel Dias Branco, Fortaleza - CE, 60150-161",Cafeteria,3.3,47,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Manuel Dias Branco,-3.734490941502,-38.503895549526
56,Grão Café,cafeteria,"Edificio Medical Center - Rua Coronel Linhares, 950 - Loja 04 - Aldeota, Fortaleza - CE, 60110-260",Cafeteria,4.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.737041984562,-38.494292999848
57,Café das Artes,cafeteria,"Anexo Espaço Cultural UNIFOR - Av. Washington Soares, 1321 - Edson Queiroz, Fortaleza - CE, 60811-905",Cafeteria,4.4,187,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz,-3.769184368931,-38.480769242582
58,Fantasia Café,cafeteria,"Av. Desembargador Moreira, 629 - Meireles, Fortaleza - CE, 60110-120",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.7317840167,-38.496640016556
59,Cafeteria Mio Café,cafeteria,"R. Carolina Sucupira, 400 - Aldeota, Fortaleza - CE, 60140-120",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.741029861125,-38.500667520721
60,Casa Bendita,cafeteria,"Av. Rui Barbosa, 888 - Meireles, Fortaleza - CE, 60115-220",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.730799981268,-38.507891967198
61,Café Canela,cafeteria,"Av. Dom Luís, 1233 - Aldeota, Fortaleza - CE, 60160-110",Café,3.6,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.735583994414,-38.489765011934
62,Akele Café,cafeteria,"R. Lídia Brígido, 857 - loja 2 - Parque Manibura, Fortaleza - CE, 60821-800",Cafeteria,4.9,34,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Parque Manibura,-3.795352719077,-38.484151739577
63,Lis Café,cafeteria,"R. Gonçalves Lêdo, 1226 - Centro, Fortaleza - CE, 60060-325",Cafeteria,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.734136120636,-38.517012526014
64,Atelier 1913 Cafés Especiais,cafeteria,"R. Antônio Augusto, 744 - Meireles, Fortaleza - CE, 60110-370",Cafeteria,4.6,47,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.727004990786,-38.512479969539
65,Casa do Pão de Queijo RioMar,cafeteria,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Café,4.0,29,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.739214586744,-38.481008995864
66,Santa Maria Café,cafeteria,"Av. Pontes Vieira, 2531 - São João do Tauape, Fortaleza - CE, 60130-241",Cafeteria,2.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,São João Do Tauape,-3.750983017381,-38.4990479697
67,Coffe America,cafeteria,"Av. Washington Soares - Edson Queiroz, Fortaleza - CE, 60811-341",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Edson Queiroz,-3.788776348247,-38.48050602641
68,B.LEM,cafeteria,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60810-060",$$,4.4,299,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Edson Queiroz,-3.757360011226,-38.489447002527
69,Vintage Coffee,cafeteria,"R. Joaquim Lima, n:2264 - Papicu, Fortaleza - CE, 60175-005",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu,-3.745554980703,-38.466328959198
70,Consulado Café,cafeteria,"Av. Bezerra de Menezes, 216 - Farias Brito, Fortaleza - CE, 60325-000",$$,4.3,1399,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Farias Brito,-3.730474009053,-38.541891983963
71,Benévolo Café e Gelato,cafeteria,"Av. Monsenhor Tabosa, 688 - Centro, Fortaleza - CE, 60165-010",$$,4.5,744,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Centro,-3.723930005787,-38.513206009992
72,Vai Café,cafeteria,"Av. Santos Dumont, 2626 - loja 01 - Meireles, Fortaleza - CE, 60150-161",Cafeteria,4.4,14,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.735344020527,-38.501691035229
