NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO
Shopping RioMar Fortaleza,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping Center Em Fortaleza, Ceará",4.7,52356,45.0,180.0,0 days 00:45:00,0 days 03:00:00,Papicu
Greta Café,Cafeteria,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",Cafeteria,4.7,1094,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres
Bardo Café,Cafeteria,"R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010",Cafeteria,4.9,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
"Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",Cafeteria,"R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250",Cafeteria,4.6,62,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Meireles
Le Pain Le Café | Aldeota,Cafeteria,"Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310",Cafeteria,4.4,1277,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Meireles
Cafeteria Club Café Santa Clara,Cafeteria,"Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.0,25,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Casa Bauducco,Cafeteria,"R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.7,201,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Papicu
Café Cultive,Cafeteria,"R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.5,695,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Torra Café,Cafeteria,"Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190",Cafeteria,4.8,452,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota
Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza,Cafeteria,"Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.1,169,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Amika Coffeehouse,Cafeteria,"Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172",Cafeteria,4.8,957,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Dionísio Torres
DOLCE GRÃO Cafeteria,Cafeteria,"Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350",Cafeteria,4.5,55,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Cocó
l´espresso café - Livraria Leitura RioMar,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-125",Café,4.8,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Cafeteria Prosa e Queijos,Cafeteria,"Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106",Cafeteria,4.9,40,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Cidade 2000
Blend Coffee House,Cafeteria,"R. Sabino Pires, 17 - Aldeota, Fortaleza - CE, 60150-090",Cafeteria,4.6,857,45.0,120.0,0 days 00:45:00,0 days 02:00:00,Aldeota
The Coffee,Cafeteria,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,3.1,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
Café 50,Cafeteria,"Av. Beira Mar, 4050 - Mucuripe, Fortaleza - CE, 60165-120",Cafeteria,4.4,836,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Mucuripe
Mercado do Café (Aldeota),Cafeteria,"R. Maria Tomásia, 531 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.2,701,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
Lugano Fortaleza Jardins,Cafeteria,"Rua Marcos Macêdo, 454 - Aldeota, Fortaleza - CE, 60170-001",Cafeteria,4.4,39,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Aldeota
Café Senac,Cafeteria,"Av. Desembargador Moreira, 1301 - Aldeota, Fortaleza - CE, 60170-002",Cafeteria,4.8,100,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
pincoffee - Café Rosa - Cafeteria Rosa,Cafeteria,"R. Maria Tomásia, 1262 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,4.1,121,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",Cafeteria,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",Cafeteria,4.6,584,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Aldeota
The Coffee,Cafeteria,"Rua Professor Otávio Lobo, 755 - Loja 25 A - Cocó, Fortaleza - CE, 60192-290",Cafeteria,5.0,22,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cocó
Milklandia Café,Cafeteria,"Shopping Rio Mar - Papicu, Fortaleza - CE, 60175-055",Cafeteria,4.1,11,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Papicu
"Café Jangada: Cafeteria, Crepes, Tapiocas, Sanduiches, Cuscuz em Fortaleza CE",Cafeteria,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-122",Cafeteria,4.3,12,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Empório Café,Cafeteria,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,4.7,117,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles
Tiamate Coffee,Cafeteria,"R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60310-330",Cafeteria,4.5,786,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Centro
