NOME,PONTUACAO,LOCAL,ESTABELECIMENTO,ESTABELECIMENTO,NUM_COMENTARIO,TEMPO_MIN,TEMPO_MAX
Shopping RioMar Fortaleza,4.7,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",cafeteria,52.356,45.0,45.0
Greta Café,4.7,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,cafeteria,1.094,0.0,0.0
Bardo Café,4.9,"R. Amélia Benebien, 471 - Papicu, Fortaleza - CE, 60176-010",Cafeteria,cafeteria,22,0.0,0.0
"Go Coffee: Cafés, Chás, Frappes, Chocolate Quente, Cafeteria, Fortaleza CE",4.6,"R. Pereira Valente, 578 - Meireles, Fortaleza - CE, 60160-250",Cafeteria,cafeteria,62,10.0,10.0
Le Pain Le Café | Aldeota,4.4,"Rua Professor Dias da Rocha, 670 - Meireles, Fortaleza - CE, 60170-310",$$$,cafeteria,1.277,20.0,20.0
Cafeteria Club Café Santa Clara,4.0,"Rua Desembargador Lauro Nogueira, 1500 Piso L2 Quiosque 210 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,cafeteria,25,0.0,0.0
Casa Bauducco,4.7,"R. Des. Lauro Nogueira, 1500 - loja 1046 - Papicu, Fortaleza - CE, 60175-055",$$,cafeteria,201,10.0,10.0
Café Cultive,4.5,"R. Maria Tomásia, 1276 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,cafeteria,695,0.0,0.0
Greta Café,4.7,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,cafeteria,1.094,0.0,0.0
Torra Café,4.8,"Rua Marcos Macêdo, 827 - Aldeota, Fortaleza - CE, 60150-190",Cafeteria,cafeteria,452,0.0,0.0
Cafeteria Club Café Santa Clara Reserva da Família - RioMar Fortaleza,4.1,"Pça de Alimentação (Q304 - Rua Desembargador Lauro Nogueira, 1500 - Piso L3, R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,cafeteria,169,0.0,0.0
Amika Coffeehouse,4.8,"Av. Desembargador Moreira, 2689 - Dionísio Torres, Fortaleza - CE, 60170-172",$$,cafeteria,957,30.0,30.0
DOLCE GRÃO Cafeteria,4.5,"Av. Antônio Sales, 3410 - Cocó, Fortaleza - CE, 60810-350",Cafeteria,cafeteria,55,45.0,45.0
l´espresso café - Livraria Leitura RioMar,4.8,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-125",Café,cafeteria,9,0.0,0.0
Cafeteria Prosa e Queijos,4.9,"Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106",Cafeteria,cafeteria,40,15.0,15.0
Blend Coffee House,4.6,"R. Sabino Pires, 17 - Aldeota, Fortaleza - CE, 60150-090",$$,cafeteria,857,45.0,45.0
The Coffee,3.1,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",Cafeteria,cafeteria,8,0.0,0.0
Café 50,4.4,"Av. Beira Mar, 4050 - Mucuripe, Fortaleza - CE, 60165-120",Cafeteria,cafeteria,836,45.0,45.0
Mercado do Café (Aldeota),4.2,"R. Maria Tomásia, 531 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,cafeteria,701,0.0,0.0
Lugano Fortaleza Jardins,4.4,"Rua Marcos Macêdo, 454 - Aldeota, Fortaleza - CE, 60170-001",Cafeteria,cafeteria,39,45.0,45.0
Café Senac,4.8,"Av. Desembargador Moreira, 1301 - Aldeota, Fortaleza - CE, 60170-002",$$,cafeteria,100,0.0,0.0
pincoffee - Café Rosa - Cafeteria Rosa,4.1,"R. Maria Tomásia, 1262 - Aldeota, Fortaleza - CE, 60150-170",Cafeteria,cafeteria,121,0.0,0.0
Greta Café,4.7,"Av. Antônio Sales, 2960 - Dionísio Torres, Fortaleza - CE, 60135-102",$$,cafeteria,1.094,0.0,0.0
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,cafeteria,584,30.0,30.0
The Coffee,5.0,"Rua Professor Otávio Lobo, 755 - Loja 25 A - Cocó, Fortaleza - CE, 60192-290",Cafeteria,cafeteria,22,0.0,0.0
Milklandia Café,4.1,"Shopping Rio Mar - Papicu, Fortaleza - CE, 60175-055",Cafeteria,cafeteria,11,0.0,0.0
"Café Jangada: Cafeteria, Crepes, Tapiocas, Sanduiches, Cuscuz em Fortaleza CE",4.3,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-122",Cafeteria,cafeteria,12,0.0,0.0
Empório Café,4.7,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,cafeteria,117,0.0,0.0
Tiamate Coffee,4.5,"R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60310-330",$$,cafeteria,786,25.0,25.0
Cafeteria Santa Clara,4.5,"R. Major Facundo, 500 - Centro, Fortaleza - CE, 60025-100",Cafeteria,cafeteria,37,0.0,0.0
Bleecker Café - Aldeota,4.7,"Rua Silva Paulet, 1281 - Aldeota, Fortaleza - CE, 60120-021",$$,cafeteria,536,25.0,25.0
Nupê Café,4.7,"Rua Coronel Jucá, 537 - Meireles, Fortaleza - CE, 60170-288",$$,cafeteria,164,0.0,0.0
Benévolo Café e Gelato,4.6,"R. Ana Bilhar, 1083 - Meireles, Fortaleza - CE, 60160-110",$$,cafeteria,1.386,20.0,20.0
Oie Cafeteria,4.6,"R. República da Armênia, 1311 - Parque Manibura, Fortaleza - CE, 60821-760",Cafeteria,cafeteria,145,15.0,15.0
Tipo.cc - Café e Coworking,4.7,"R. José Vilar, 3040 - loja 2 - Dionísio Torres, Fortaleza - CE, 60125-001",Cafeteria,cafeteria,204,0.0,0.0
Cafeteria Tres Coraçoes,4.3,"Av. Washington Soares, 85 - 720a - Edson Queiroz, Fortaleza - CE, 60811-900",Cafeteria,cafeteria,3,0.0,0.0
Duckbill Fortaleza (Beira Mar),4.2,"Av. Beira Mar, 2500 - Meireles, Fortaleza - CE, 60165-121 - Meireles, Fortaleza - CE, 60165-120",Cafeteria,cafeteria,103,0.0,0.0
Café & Company,5.0,"Av. Engenheiro Alberto Sá, 220 - Papicu, Fortaleza - CE, 60175-395",Cafeteria,cafeteria,2,0.0,0.0
The Coffee,4.3,"Av. Dom Luís, 1200 - Meireles, Fortaleza - CE, 60160-230",Cafeteria,cafeteria,9,0.0,0.0
The Coffee Beira Mar,4.6,"R. Osvaldo Cruz, 28 - Meireles, Fortaleza - CE, 60125-150",$$,cafeteria,111,0.0,0.0
