NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Nhamy Nhamy Mercado Saudável;5.0;20 comentários;Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180;Restaurante;20 min a 1,5 h;delivery de comida
Verdelima Restaurante;4.5;477 comentários;R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055;$$;25 min a 1 h;delivery de comida
Divina Comida;;;Rua Desembargador Leite Albuquerque, 920 - Aldeota, Fortaleza - CE, 60150-100;$$;30 min;delivery de comida
Delivery Menu;;;R. Osvaldo Cruz, 2085 - Dionísio Torres, Fortaleza - CE, 60125-151;Delivery;;delivery de comida
Delivery da Silvana e Kelson;5.0;Um comentário;Alameda Maria da Glória - Cidade 2000, Fortaleza - CE, 60190-180;Restaurante de comida caseira;;delivery de comida
Saladex;;;Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070;$$;;delivery de comida
Carneiro do Ordones Jovita: Churrasco, Pratos Executivos, Cerveja, Restaurante, Delivery Fortaleza CE;;;Av. Jovita Feitosa, 289 - Parquelândia, Fortaleza - CE, 60455-410;Restaurante;1-2,5 horas;delivery de comida
Brasileirinho Delivery;;;R. Costa Barros, 941 - Loja 04 e 05 - Aldeota, Fortaleza - CE, 60160-280;$;;delivery de comida
Divina Comida;;;Rua Torres Câmara, 135 - Aldeota, Fortaleza - CE, 60150-060;$$;30 min a 1,5 h;delivery de comida
China In Box Praia;;;Av. Santos Dumont, 6945 - Manuel Dias Branco, Fortaleza - CE, 60175-057;$$;15-45 min;delivery de comida
Porpino Burger: Hambúrguer, Batata Frita, Hamburgueria Delivery Fortaleza CE;;;Av. Senador Virgílio Távora, 597 - Meireles, Fortaleza - CE, 60170-265;$$;;delivery de comida
Frango Chicken Delivery;;;R. José Vilar, 734 - Meireles, Fortaleza - CE, 60125-025;Delivery;;delivery de comida
Rafael Marmitaria Delivery;5.0;19 comentários;R. Costa Barros, 249 - Aldeota, Fortaleza - CE, 60160-280;Restaurante de comida para viagem;;delivery de comida
Habib's Parque Shopping: Esfirra, Kibe, Sanduíche, Delivery, Fortaleza CE;;;R. Dr. Gilberto Studart, 155 - Loja 34, 35 e 36 - Cocó, Fortaleza - CE, 60192-105;$$;10 min a 1 h;delivery de comida
Ceará Food;5.0;4 comentários;R. Gonçalves Lêdo, 1541 - Loja 2 - Centro, Fortaleza - CE, 60110-261;Restaurante de comida caseira;;delivery de comida
China in Box;4.5;608 comentários;Av. Santos Dumont, 1206 - Aldeota, Fortaleza - CE, 60150-160;$$;;delivery de comida
NBS Burguer: Hambúrgueres, Hot Dog, Hamburgueria, Delivery, Fortaleza CE;;;R. Beni Carvalho, 677 - Dionísio Torres, Fortaleza - CE, 60135-400;Hamburgueria;20 min;delivery de comida
